label,ca_rmsd_mean,ca_rmsd_std,allatom_rmsd_mean,allatom_rmsd_std,repr_ca_rmsd,repr_all_rmsd,n_samples
Cluster 0,1.1441000000000001,0.11961308456853706,1.3656,0.09417451884666041,1.463,4.565,10
Cluster 1,0.4102,0.0268059694844264,0.6074999999999999,0.044279227635540354,0.904,4.532,10
Cluster 2,0.3923,0.02265855246921127,0.5862999999999999,0.050572818786379696,1.017,4.645,10
Cluster 3,0.7837999999999999,0.1510594584923433,1.1028000000000002,0.20339262523503648,1.033,4.57,10
Cluster 4,3.0372000000000003,0.3652393188034388,3.2653,0.3096394839163765,3.904,5.625,10
Cluster 5,1.4137,0.026899999999999966,1.6960000000000002,0.02823827190180025,1.914,4.853,10
Cluster 6,1.7990000000000002,0.5299839620214938,1.9945,0.5043154270890392,1.735,4.797,10
Cluster 7,0.5568,0.03495654445164738,0.8156000000000001,0.041270328324354275,1.334,4.773,10
Cluster 8,0.4535,0.14701377486480646,0.6732,0.17633082543900255,1.149,4.506,10
Cluster 9,1.0477,0.15116550532446216,1.3882999999999999,0.07406625412426361,1.599,4.595,10
